"Name	ScopeViewControl	";;;
"File		";;;
"StartRecord	131596394892470000	5 de janeiro de 2018	15:24:49";;;
"EndRecord	131596400892470000	5 de janeiro de 2018	15:34:49";;;
;;;
;;;
"Name	IOs.Temp_Tabuleiro	Name	IOs.IO_Out_Aque_Mesa	";;;
"NetId	192.168.200.135.1.1	NetId	192.168.200.135.1.1	";;;
"Port	851	Port	851	";;;
"SampleTime[ms]	10	SampleTime[ms]	10	";;;
"SymbolBased	True	SymbolBased	True	";;;
"SymbolName	IOs.Temp_Tabuleiro	SymbolName	IOs.IO_Out_Aque_Mesa	";;;
"SymbolComment	0.01ºC	SymbolComment		";;;
"IndexGroup	61472	IndexGroup	61488	";;;
"IndexOffset	4761996	IndexOffset	4761967	";;;
"Data-Type	INT16	Data-Type	BIT	";;;
"VariableSize	2	VariableSize	1	";;;
"Offset	0	Offset	0	";;;
"ScaleFactor	0,01	ScaleFactor	10	";;;
"BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	";;;
;;;
0;35,68;0;0
10;35,68;10;0
20;35,68;20;0
30;35,68;30;0
40;35,68;40;0
50;35,68;50;0
60;35,68;60;0
70;35,68;70;0
80;35,68;80;0
90;35,68;90;0
100;35,68;100;0
110;35,68;110;0
120;35,68;120;0
130;35,68;130;0
140;35,68;140;0
150;35,68;150;0
160;35,68;160;0
170;35,68;170;0
180;35,68;180;0
190;35,68;190;0
200;35,68;200;0
210;35,68;210;0
220;35,68;220;0
230;35,68;230;0
240;35,68;240;0
250;35,68;250;0
260;35,68;260;0
270;35,68;270;0
280;35,68;280;0
290;35,68;290;0
300;35,68;300;0
310;35,68;310;0
320;35,68;320;0
330;35,68;330;0
340;35,68;340;0
350;35,68;350;0
360;35,68;360;0
370;35,68;370;0
380;35,68;380;0
390;35,68;390;0
400;35,68;400;0
410;35,68;410;0
420;35,68;420;0
430;35,68;430;0
440;35,68;440;0
450;35,68;450;0
460;35,68;460;0
470;35,68;470;0
480;35,68;480;0
490;35,68;490;0
500;35,68;500;0
510;35,68;510;0
520;35,68;520;0
530;35,68;530;0
540;35,68;540;0
550;35,68;550;0
560;35,68;560;0
570;35,68;570;0
580;35,68;580;0
590;35,68;590;0
600;35,68;600;0
610;35,68;610;0
620;35,68;620;0
630;35,68;630;0
640;35,68;640;0
650;35,68;650;0
660;35,68;660;0
670;35,68;670;0
680;35,68;680;0
690;35,68;690;0
700;35,68;700;0
710;35,68;710;0
720;35,68;720;0
730;35,68;730;0
740;35,68;740;0
750;35,68;750;0
760;35,68;760;0
770;35,68;770;0
780;35,68;780;0
790;35,68;790;0
800;35,68;800;0
810;35,68;810;0
820;35,68;820;0
830;35,68;830;0
840;35,68;840;0
850;35,68;850;0
860;35,68;860;0
870;35,68;870;0
880;35,68;880;0
890;35,68;890;0
900;35,68;900;0
910;35,68;910;0
920;35,68;920;0
930;35,68;930;0
940;35,68;940;0
950;35,68;950;0
960;35,68;960;0
970;35,68;970;0
980;35,68;980;0
990;35,68;990;0
1000;35,68;1000;0
1010;35,68;1010;0
1020;35,68;1020;0
1030;35,68;1030;0
1040;35,68;1040;0
1050;35,68;1050;0
1060;35,68;1060;0
1070;35,68;1070;0
1080;35,68;1080;0
1090;35,68;1090;0
1100;35,68;1100;0
1110;35,68;1110;0
1120;35,68;1120;0
1130;35,68;1130;0
1140;35,68;1140;0
1150;35,68;1150;0
1160;35,68;1160;0
1170;35,68;1170;0
1180;35,68;1180;0
1190;35,68;1190;0
1200;35,68;1200;0
1210;35,68;1210;0
1220;35,68;1220;0
1230;35,68;1230;0
1240;35,68;1240;0
1250;35,68;1250;0
1260;35,68;1260;0
1270;35,68;1270;0
1280;35,68;1280;0
1290;35,68;1290;0
1300;35,68;1300;0
1310;35,68;1310;0
1320;35,68;1320;0
1330;35,68;1330;0
1340;35,68;1340;0
1350;35,68;1350;0
1360;35,68;1360;0
1370;35,68;1370;0
1380;35,68;1380;0
1390;35,68;1390;0
1400;35,68;1400;0
1410;35,68;1410;0
1420;35,68;1420;0
1430;35,68;1430;0
1440;35,68;1440;0
1450;35,68;1450;0
1460;35,68;1460;0
1470;35,68;1470;0
1480;35,68;1480;0
1490;35,68;1490;0
1500;35,68;1500;0
1510;35,68;1510;0
1520;35,68;1520;0
1530;35,68;1530;0
1540;35,68;1540;0
1550;35,68;1550;0
1560;35,68;1560;0
1570;35,68;1570;0
1580;35,68;1580;0
1590;35,68;1590;0
1600;35,68;1600;0
1610;35,68;1610;0
1620;35,68;1620;0
1630;35,68;1630;0
1640;35,68;1640;0
1650;35,68;1650;0
1660;35,68;1660;0
1670;35,68;1670;0
1680;35,68;1680;0
1690;35,68;1690;0
1700;35,68;1700;0
1710;35,68;1710;0
1720;35,68;1720;0
1730;35,68;1730;0
1740;35,68;1740;0
1750;35,68;1750;0
1760;35,68;1760;0
1770;35,68;1770;0
1780;35,68;1780;0
1790;35,68;1790;0
1800;35,68;1800;0
1810;35,68;1810;0
1820;35,68;1820;0
1830;35,68;1830;0
1840;35,68;1840;0
1850;35,68;1850;0
1860;35,68;1860;0
1870;35,68;1870;0
1880;35,68;1880;0
1890;35,68;1890;0
1900;35,68;1900;0
1910;35,68;1910;0
1920;35,68;1920;0
1930;35,68;1930;0
1940;35,68;1940;0
1950;35,68;1950;0
1960;35,68;1960;0
1970;35,68;1970;0
1980;35,68;1980;0
1990;35,68;1990;0
2000;35,68;2000;0
2010;35,68;2010;0
2020;35,68;2020;0
2030;35,68;2030;0
2040;35,68;2040;0
2050;35,68;2050;0
2060;35,68;2060;0
2070;35,68;2070;0
2080;35,68;2080;0
2090;35,68;2090;0
2100;35,68;2100;0
2110;35,68;2110;0
2120;35,68;2120;0
2130;35,68;2130;0
2140;35,68;2140;0
2150;35,68;2150;0
2160;35,68;2160;0
2170;35,68;2170;0
2180;35,68;2180;0
2190;35,68;2190;0
2200;35,68;2200;0
2210;35,68;2210;0
2220;35,68;2220;0
2230;35,68;2230;0
2240;35,68;2240;0
2250;35,68;2250;0
2260;35,68;2260;0
2270;35,68;2270;0
2280;35,68;2280;0
2290;35,68;2290;0
2300;35,68;2300;0
2310;35,68;2310;0
2320;35,68;2320;0
2330;35,68;2330;0
2340;35,68;2340;0
2350;35,68;2350;0
2360;35,68;2360;0
2370;35,68;2370;0
2380;35,68;2380;0
2390;35,68;2390;0
2400;35,68;2400;0
2410;35,68;2410;0
2420;35,68;2420;0
2430;35,68;2430;0
2440;35,68;2440;0
2450;35,68;2450;0
2460;35,68;2460;0
2470;35,68;2470;0
2480;35,68;2480;0
2490;35,68;2490;0
2500;35,68;2500;0
2510;35,68;2510;0
2520;35,68;2520;0
2530;35,68;2530;0
2540;35,68;2540;0
2550;35,68;2550;0
2560;35,68;2560;0
2570;35,68;2570;0
2580;35,68;2580;0
2590;35,68;2590;0
2600;35,68;2600;0
2610;35,68;2610;0
2620;35,68;2620;0
2630;35,68;2630;0
2640;35,68;2640;0
2650;35,68;2650;0
2660;35,68;2660;0
2670;35,68;2670;0
2680;35,68;2680;0
2690;35,68;2690;0
2700;35,68;2700;0
2710;35,68;2710;0
2720;35,68;2720;0
2730;35,68;2730;0
2740;35,68;2740;0
2750;35,68;2750;0
2760;35,68;2760;0
2770;35,68;2770;0
2780;35,68;2780;0
2790;35,68;2790;0
2800;35,68;2800;0
2810;35,68;2810;0
2820;35,68;2820;0
2830;35,68;2830;0
2840;35,68;2840;0
2850;35,68;2850;0
2860;35,68;2860;0
2870;35,68;2870;0
2880;35,68;2880;0
2890;35,68;2890;0
2900;35,68;2900;0
2910;35,68;2910;0
2920;35,68;2920;0
2930;35,68;2930;0
2940;35,68;2940;0
2950;35,68;2950;0
